itemID,title,author,publisher,main topic,subtopics
75904,The Testaments,Margaret Atwood,Random House UK Ltd,JBSF11,"[FBA,FDB,FL,FXP]"
56300,Die Maus - Meine Kindergarten-Freunde,,Ars Edition GmbH,Y,"[5A,5AC,YB,YF]"
636,A Song of Ice and Fire 05. A Dance with Dragons,George R. R. Martin,Harper Collins Publ. UK,FL,[FM]
21276,Wilder Girls,Rory Power,Random House LCC US,YNMF,"[YFB,YFG,YFS]"
48659,Die Splitter der Macht,Brandon Sanderson,Heyne Verlag,FMB,"[FMB,FYT]"
67909,The Lord of the Rings,J. R. R. Tolkien,HarperCollins Publishers,FM,[]
29708,Dunkelherz,Lexy v. Golden,Books on Demand,FMB,[5AX]
67063,Die Ordensburg,Bernhard Hennen,Heyne Taschenbuch,FMB,[]
40017,The Water Horse,Dick King-Smith,KNOPF,YFH,[]
11682,Alpha Night,Nalini Singh,Orion Publishing Group,FMR,[FBA]
6955,Der Fluch der Mondsklaven,Jacqueline F. Eckert,Lysandra Books Verlag,FMB,[FMR]
30313,Collector,Markus Heitz,Heyne Taschenbuch,FLS,[]
13382,Die Macht der Drei,Hans Dominik,Hofenberg,FL,[]
70300,Requiem,Lauren Oliver,Harper Collins Publ. USA,YF,[5AQ]
31571,Ghost,Jason Reynolds,Knights Of Media,YFN,"[YFR,YFS]"
67219,Sépharial,Jana Tomy,NOVA MD,FMB,"[FMR,FMT]"
77524,Speak,Laurie Halse Anderson,Hachette Children's Group,XADC,"[5AN,YF,YXQ]"
46951,Escape,Petra Ivanov,Appenzeller Medienhaus,YFCF,[F]
71063,Die vier ewigen Reiche,Erya Veger,Bookmundo Direct,FM,[]
62540,Dash & Lily,"Rachel Cohn, David Levithan",cbt,YXHB,"[5AP,5HPD,1KBB-US-NAKC,YFM]"
39864,Tales of a Korean Grandmother: 32 Traditional Tales from Korea,Frances Carpenter,TUTTLE PUB,YFJ,"[1F,YFN]"
66928,The Queen's Secret,Benjamin Towe,AuthorHouse,FMB,[]
39627,Rynestig,Margarethe Alb,Books on Demand,FMH,[FV]
10075,The Protectors,Larry Wade Livingston,Xlibris US,FL,[]
32126,Die Chroniken von Nyúmel,T.E. Lind,Books on Demand,FMB,"[FMH,FV]"
21607,Macbeth,William Shakespeare,Akasha Classics,YFA,[]
24085,Bicycle Mystery,Gertrude Chandler Warner,ALBERT WHITMAN & CO,YFCF,[]
47597,A Tale of Two Cities,Charles Dickens,Simon & Brown,YFA,[]
44662,The Star Series,Vincent Havelund,iUniverse,FMB,[]
32451,Alpha & Omega,Hans Stengel,Books on Demand,FB,[]
49099,Witchstruck,Victoria Lamb,HARLEQUIN SALES CORP,YFT,"[1D,YFD,YFH]"
24554,Martha Speaks,Susan Meddaugh,TURTLEBACK BOOKS,YFQ,[YFP]
34978,Ella,Jessilyn Stewart Peaslee,SWEETWATER BOOKS,YFJ,[YFM]
53496,Amerikas letzter Eskimo,Hans-Uwe Röwer,tredition,FB,[]
58865,Alice's Adventures in Wonderland,Lewis Carroll,Evertype,YFA,[]
64236,The fear in me,Zondra Aceman,Books on Demand,FM,[]
70180,Winnie Historias. Winnie Dice ¡whisky!,"Laura Owen, Korky Korky",OCEANO,YFH,"[YFP,YFQ]"
2257,Whistling Past the Graveyard,Kevin J. Anderson,WordFire Press LLC,FLS,[]
61794,The Liar's Handbook,Keren David,Barrington Stoke Ltd,YFB,[]
